DTXSID,PREFERRED NAME,,,,,,,,,,,,
DTXSID2026941,Chlorendic anhydride,,,,,,,,,,,,
DTXSID2026943,Pentaerythritol,,,,,,,,,,,,
DTXSID2026991,Triethyl phosphite,,,,,,,,,,,,
DTXSID2026997,4-Methoxybenzaldehyde,,,,,,,,,,,,
DTXSID2027044,Sodium acetate,,,,,,,,,,,,
DTXSID2027048,Sodium 3-nitrobenzenesulfonate,,,,,,,,,,,,
DTXSID2027092,Ethyl acetoacetate,,,,,,,,,,,,
DTXSID2027094,Bis(2-ethylhexyl) maleate,,,,,,,,,,,,
DTXSID2027096,"2,5-Dimethyl-3-hexyne-2,5-diol",,,,,,,,,,,,
DTXSID2027098,Iminodiacetic acid,,,,,,,,,,,,
DTXSID2027175,"1,2,3,4-Tetrahydronaphthalen-1-one",,,,,,,,,,,,
DTXSID2027200,"4,4'-Bipyridine",,,,,,,,,,,,
DTXSID2027204,Methyl isothiocyanate,,,,,,,,,,,,
DTXSID2027206,3-Methyl-2-buten-1-ol,,,,,,,,,,,,
DTXSID2027254,2-Methylbutyl acetate,,,,,,,,,,,,
DTXSID2027258,Isopropyl formate,,,,,,,,,,,,
DTXSID2027333,3-Aminopropyltriethoxysilane,,,,,,,,,,,,
DTXSID2027381,"1,2-Propylene glycol monostearate",,,,,,,,,,,,
DTXSID2027412,"3,6,9,12-Tetraoxahexadecan-1-ol",,,,,,,,,,,,
DTXSID2027414,"2,3-Dihydro-2,2-dimethyl-7-benzofuranol",,,,,,,,,,,,
DTXSID2027416,Cyclohexanethiol,,,,,,,,,,,,
DTXSID2027418,2-Methyleneglutaronitrile,,,,,,,,,,,,
DTXSID20274180,L-Domoic acid,,,,,,,,,,,,
DTXSID2027462,Ammonium dodecyl sulfate,,,,,,,,,,,,
DTXSID2027466,ECC,,,,,,,,,,,,
DTXSID2027543,"N,N-Diethylhydroxylamine",,,,,,,,,,,,
DTXSID2027591,2-Acrylamido-2-methylpropanesulphonate sodium salt,,,,,,,,,,,,
DTXSID2027593,4-Chlorobenzotrichloride,,,,,,,,,,,,
DTXSID2027595,Sodium 1-octanesulfonate,,,,,,,,,,,,
DTXSID2027599,Ammonium thioglycolate,,,,,,,,,,,,
DTXSID2027620,3'-Amino-4'-methoxyacetanilide,,,,,,,,,,,,
DTXSID2027624,Aminotrimethylene phosphonic acid,,,,,,,,,,,,
DTXSID2027759,"2-Amino-2,3-dimethylbutanenitrile",,,,,,,,,,,,
DTXSID2027830,"3-(Chloromethyl)-1,2,3-benzotriazin-4(3H)-one",,,,,,,,,,,,
DTXSID2027832,2-Ethylhexyl chloroformate,,,,,,,,,,,,
DTXSID2027834,2-Carboxyethyl acrylate,,,,,,,,,,,,
DTXSID2027884,(2Z)-2-Pentenenitrile,,,,,,,,,,,,
DTXSID2027886,"2-(2-Hydroxy-3,5-di-tert-pentylphenyl)benzotriazole",,,,,,,,,,,,
DTXSID2027963,Isooctadecanoic acid,,,,,,,,,,,,
DTXSID2028010,Sodium diethyl oxaloacetate,,,,,,,,,,,,
DTXSID2028016,2-(Dimethylamino)ethyl acrylate methochloride,,,,,,,,,,,,
DTXSID2028723,(C10-C16) Alkylbenzenesulfonic acid,,,,,,,,,,,,
DTXSID2028985,"2-(2H-Benzotriazol-2-yl)-4,6-bis(1-methyl-1-phenylethyl)phenol",,,,,,,,,,,,
DTXSID2029117,"1,1':3',1''-Terphenyl",,,,,,,,,,,,
DTXSID2029167,Metam-sodium,,,,,,,,,,,,
DTXSID2029169,Methyl ricinoleate,,,,,,,,,,,,
DTXSID2029240,Vinyltrimethoxysilane,,,,,,,,,,,,
DTXSID2029242,"Diethyl (N,N-bis(2-hydroxyethyl)amino)methanephosphonate",,,,,,,,,,,,
DTXSID2029244,"Octahydro-exo-4,7-methano-1H-indene",,,,,,,,,,,,
DTXSID2029246,Triethoxyoctylsilane,,,,,,,,,,,,
DTXSID2029290,(-)-alpha-Pinene,,,,,,,,,,,,
DTXSID2029298,"alpha-Sulfo-omega-(dodecyloxy)poly(oxy-1,2-ethanediyl) sodium salt",,,,,,,,,,,,
DTXSID2029325,Methyl dihydrojasmonate,,,,,,,,,,,,
DTXSID2029327,Tetrabromobisphenol A diallyl ether,,,,,,,,,,,,
DTXSID2029329,Tripropylene glycol monomethyl ether,,,,,,,,,,,,
DTXSID2029612,Limonene,,,,,,,,,,,,
DTXSID2029616,Imidazole,,,,,,,,,,,,
DTXSID2029662,Dichloro(dioctyl)stannane,,,,,,,,,,,,
DTXSID2029668,Ammonium nitrate,,,,,,,,,,,,
DTXSID2029874,Fenofibrate,,,,,,,,,,,,
DTXSID2030695,Aloe-emodin,,,,,,,,,,,,
DTXSID2030857,Black cohosh,,,,,,,,,,,,
DTXSID2031089,D&C Red 27,,,,,,,,,,,,
DTXSID2031374,Glycidamide,,,,,,,,,,,,
DTXSID2031532,Lime oil,,,,,,,,,,,,
DTXSID2031956,Prilocaine hydrochloride,,,,,,,,,,,,
DTXSID2032005,4-Hydroxyphenyl retinamide,,,,,,,,,,,,
DTXSID2032180,"2,2',4,4',5,5'-Hexachlorobiphenyl",,,,,,,,,,,,
DTXSID2032342,Chinomethionate,,,,,,,,,,,,
DTXSID2032344,Chlorethoxyfos,,,,,,,,,,,,
DTXSID2032348,Chlorophacinone,,,,,,,,,,,,
DTXSID2032390,Fenarimol,,,,,,,,,,,,
DTXSID2032392,Fenoxaprop-ethyl,,,,,,,,,,,,
DTXSID2032398,Fludioxonil,,,,,,,,,,,,
DTXSID2032421,Lithium perfluorooctanesulfonate,,,,,,,,,,,,
DTXSID2032500,Triflumizole,,,,,,,,,,,,
DTXSID2032502,Triflusulfuron-methyl,,,,,,,,,,,,
DTXSID2032550,"Fenpyroximate (Z,E)",,,,,,,,,,,,
DTXSID2032552,Flufenacet,,,,,,,,,,,,
DTXSID2032554,Flumiclorac-pentyl,,,,,,,,,,,,
DTXSID2032556,Fluthiacet-methyl,,,,,,,,,,,,
DTXSID2032558,Kresoxim-methyl,,,,,,,,,,,,
DTXSID2032631,Oxadixyl,,,,,,,,,,,,
DTXSID2032637,Pymetrozine,,,,,,,,,,,,
DTXSID2032639,Pyridate,,,,,,,,,,,,
DTXSID2032683,Mevinphos,,,,,,,,,,,,
DTXSID2032891,"2,6-Dichlorobenzoyl chloride",,,,,,,,,,,,
DTXSID2033281,Cadmium acetate dihydrate,,,,,,,,,,,,
DTXSID2033314,Chlorhexidine,,,,,,,,,,,,
DTXSID2033445,Dimethyldipropylenetriamine,,,,,,,,,,,,
DTXSID2033447,"N,N-Dimethylisopropylamine",,,,,,,,,,,,
DTXSID2033493,Ethyl-2-methyl acetoacetate,,,,,,,,,,,,
DTXSID2033736,Nelfinavir mesylate,,,,,,,,,,,,
DTXSID2033863,"1,4-Divinylbenzene",,,,,,,,,,,,
DTXSID2034091,Valeryl chloride,,,,,,,,,,,,
DTXSID2034095,Verapamil hydrochloride,,,,,,,,,,,,
DTXSID2034255,2-Fluoroacetamide,,,,,,,,,,,,
DTXSID2034259,2-Methyl-3(2H)-isothiazolone,,,,,,,,,,,,
DTXSID2034338,Ancymidol,,,,,,,,,,,,
DTXSID2034382,Bioresmethrin,,,,,,,,,,,,
DTXSID2034465,Clothianidin,,,,,,,,,,,,
DTXSID2034540,Dikegulac sodium,,,,,,,,,,,,
DTXSID2034542,Dimethenamid-P,,,,,,,,,,,,
DTXSID2034590,Fenamidone,,,,,,,,,,,,
DTXSID2034598,Fenoxaprop-P-ethyl,,,,,,,,,,,,
DTXSID2034625,Fluoxastrobin,,,,,,,,,,,,
DTXSID2034627,Fluroxypyr,,,,,,,,,,,,
DTXSID2034673,Iodosulfuron methyl ester sodium salt,,,,,,,,,,,,
DTXSID2034700,"Acetic acid, 2-(4-chloro-2-methylphenoxy)-, sodium salt (1:1)",,,,,,,,,,,,
DTXSID2034833,Potassium 1-naphthaleneacetate,,,,,,,,,,,,
DTXSID2034881,Quinoxyfen,,,,,,,,,,,,
DTXSID2034885,Fenchlorphos,,,,,,,,,,,,
DTXSID2034962,Thiamethoxam,,,,,,,,,,,,
DTXSID2034968,"2,4-Dithiobiuret",,,,,,,,,,,,
DTXSID2035013,Zinc chloride,,,,,,,,,,,,
DTXSID8048810,Meluadrine,,,,,,,,,,,,
